species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
costatum,358035,Actinostreon,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
sp. A,358036,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp.,358037,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
alata,358038,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358039,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
textoria,358040,Chlamys textoria,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Chlamys,Jurassic,No especificado
subpunctata,358041,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
costatum,358042,Actinostreon,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
sp. A,358043,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp.,358044,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
alata,358045,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358046,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
liasica,358047,Chaetetes (Pseudoseptifer) liasica,Porifera,Demospongiae,Hadromerida,Suberitidae,Chaetetes (Pseudoseptifer),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Andenipora,Jurassic,No especificado
textoria,358048,Chlamys textoria,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Chlamys,Jurassic,No especificado
auricularis,358049,Nanogyra auricularis,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Nanogyra,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Nanogyra,Jurassic,No especificado
dumortieri,358050,Gryphaea (Gryphaea) dumortieri,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Gryphaea (Gryphaea),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Gryphaea,Jurassic,No especificado
subpunctata,358051,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
sp.,358052,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
