species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
sp. A,1275246,Ornamentifera,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Gleicheniaceae,Ornamentifera,-63.868889,-57.989723,,,delta plain,,Ornamentifera,Cretaceous,Cretaceous
velatus,1275247,Densoisporites velatus,Lycopodiophyta,Lycopodiopsida,Selaginellales,NO_FAMILY_SPECIFIED,Densoisporites,-63.868889,-57.989723,,,delta plain,,Densoisporites,Cretaceous,Cretaceous
spp.,1275248,,,,,,,-63.868889,-57.989723,,,delta plain,,Nyssapollenties,Cretaceous,Cretaceous
sp.1,1275249,Dryadopollis,Magnoliophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Dryadopollis,-63.868889,-57.989723,,,delta plain,,Dryadopollis,Cretaceous,Cretaceous
sp.1,1275250,Proteacidites,Angiospermae,NO_CLASS_SPECIFIED,Proteales,Proteaceae,Proteacidites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Proteacidites,Cretaceous,Cretaceous
mallatus,1275251,Rugulatisporites mallatus,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Osmundaceae,Rugulatisporites,-63.868889,-57.989723,,,delta plain,,Rugulatisporites,Cretaceous,Cretaceous
sp.1,1275252,Tricolporites,Spermatophyta,Magnoliopsida,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Tricolporites,-63.868889,-57.989723,,,delta plain,,Tricolporites,Cretaceous,Cretaceous
sp.2,1275253,Proteacidites,Angiospermae,NO_CLASS_SPECIFIED,Proteales,Proteaceae,Proteacidites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Proteacidites,Cretaceous,Cretaceous
microverrucatus,1275254,Stoverisporites microverrucatus,Bryophyta,Marchantiopsida,NO_ORDER_SPECIFIED,Marchantiidae,Stoverisporites,-63.868889,-57.989723,,,delta plain,,Stoverisporites,Cretaceous,Cretaceous
minor,1275255,Triorites minor,Angiospermae,Dicotyledoneae,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Triorites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Triorites,Cretaceous,Cretaceous
ambigens,1275256,Camarozonosporites ambigens,Lycopodiophyta,Lycopodiopsida,Selaginellales,NO_FAMILY_SPECIFIED,Camarozonosporites,-63.868889,-57.989723,,,delta plain,,Camarozonosporites,Cretaceous,Cretaceous
sp.2,1275257,Dryadopollis,Magnoliophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Dryadopollis,-63.868889,-57.989723,,,delta plain,,Dryadopollis,Cretaceous,Cretaceous
baetica,1275258,Chytroeisphaeridia,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Chytroeisphaeridia,-63.868889,-57.989723,,,delta plain,,Chytroeisphaeridia,Cretaceous,Cretaceous
spp.,1275259,Impagidinium,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Impagidinium,-63.868889,-57.989723,,,delta plain,,Impagidinium,Cretaceous,Cretaceous
striatoconus,1275260,Conosphaeridium,Dinozoa,Dinophyceae,Gonyaulacales,Hystrichosphaeridiaceae,Conosphaeridium,-63.868889,-57.989723,,,delta plain,,Conosphaeridium,Cretaceous,Cretaceous
heteracanthum,1275261,Heterosphaeridium heteracanthum,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Heterosphaeridium,-63.868889,-57.989723,,,delta plain,,Heterosphaeridium,Cretaceous,Cretaceous
spp.,1275262,Operculodinium,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Operculodinium,-63.868889,-57.989723,,,delta plain,,Operculodinium,Cretaceous,Cretaceous
